ProjectReference,FundingOrgName,ProjectCategory,ParentOrgName,SectorParentOrg,CountryParentOrg,YearCollaborationStarted,AwardExpenditurePoundsMainProject
G0000135,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2009,535781
G0000135,MRC,Research Grant,University College London,Academic/University,United Kingdom,2009,535781
G0001033,MRC,Research Grant,Cardiff University,Academic/University,United Kingdom,2006,1083251
G0001033,MRC,Research Grant,Stanford University,Academic/University,United States,2009,1083251
G0001033,MRC,Research Grant,University of Dundee,Academic/University,United Kingdom,2008,1083251
G0001033,MRC,Research Grant,University of Edinburgh,Academic/University,United Kingdom,2006,1083251
G0001033,MRC,Research Grant,University of Pittsburgh Medical Center (UPMC),Hospitals,United States,2007,1083251
G0100594,MRC,Research Grant,EMBL European Bioinformatics Institute (EMBL - EBI),Academic/University,United Kingdom,2010,1499525
G0100594,MRC,Research Grant,Motor Neurone Disease Association (MND),Charity/Non Profit,United Kingdom,2008,1499525
G0100594,MRC,Research Grant,Public Health England,Public,United Kingdom,2010,1499525
G0100594,MRC,Research Grant,UK Biobank,Charity/Non Profit,United Kingdom,2010,1499525
G0100594,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2010,1499525
G0100594,MRC,Research Grant,Versus Arthritis,Charity/Non Profit,United Kingdom,2008,1499525
G0100872,MRC,Research Grant,AstraZeneca,Private,United Kingdom,2006,1249684
G0100872,MRC,Research Grant,University of Leicester,Academic/University,United Kingdom,2006,1249684
G0200246,MRC,Research Grant,Imperial College London,Academic/University,United Kingdom,2006,793295
G0200246,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2006,793295
G0200246,MRC,Research Grant,Wellcome Trust,Charity/Non Profit,United Kingdom,2006,793295
G0200434,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2011,2779282
G0200434,MRC,Research Grant,"Queen Mary, University of London",Academic/University,United Kingdom,2011,2779282
G0200434,MRC,Research Grant,University of Bergen,Academic/University,Norway,2011,2779282
G0200434,MRC,Research Grant,University of Manchester,Academic/University,United Kingdom,2011,2779282
G0200434,MRC,Research Grant,University of Oxford,Academic/University,United Kingdom,2011,2779282
G0200434,MRC,Research Grant,University of Western Australia,Academic/University,Australia,2011,2779282
G0200565,MRC,Research Grant,Newcastle University,Academic/University,United Kingdom,2008,220543
G0200565,MRC,Research Grant,University College London,Academic/University,United Kingdom,2006,220543
G0200565,MRC,Research Grant,University of Bristol,Academic/University,United Kingdom,2006,220543
G0300155,MRC,Research Grant,Eli Lilly & Company Ltd,Private,United Kingdom,2007,233878
G0300155,MRC,Research Grant,European Union,Public,European Union (EU),2013,233878
G0300155,MRC,Research Grant,King's College London,Academic/University,United Kingdom,2013,233878
